appal,10.59,verb,"to cause (someone) to feel fear, shock, or disgust ",The thought of war appalls me.
dotty,9.14,adjective,somewhat crazy ,my dotty old grandparents
dismissive,8.86,adjective,refusing to think about or consider something or someone usually + of ,He was dismissive of my idea.
liken,8.76,verb,to describe (someone or something) as similar to (someone or something else) ,Some critics have likened [=compared] his writing to Faulkner's.
fatten,8.5,verb,to make (someone or something) fat ,fatten (up) pigs for slaughter
kidnap,8.12,verb,to take away (someone) by force usually in order to keep the person as a prisoner and demand money for returning the person ,She had been kidnapped (from her home).
trepidation,7.84,noun,a feeling of fear that causes you to hesitate because you think something bad or unpleasant is going to happen ,He had/felt some trepidation about agreeing to their proposal.
broach,7.77,verb,"to introduce (a subject, issue, etc.) for discussion ",She broached the idea of getting another cat.
indefensible,7.75,adjective,not defensible: such as,The company adopted an indefensible position on the issue.
meddle,7.68,verb,to become involved in the activities and concerns of other people when your involvement is not wanted :interfere usually + in ,He was always meddling in other people's personal lives.
stratagem,7.62,noun,a trick or plan for deceiving an enemy or for achieving a goal ,a clever stratagem
trotter,7.61,noun,a horse that has been trained to trot in races,N/A
despot,7.5,noun,a ruler who has total power and who often uses that power in cruel and unfair ways ,medieval despots [=tyrants]
rejoinder,7.5,noun,a usually rude or angry reply to something written or said ,The article was a stinging rejoinder to her critics.
blister,7.48,noun,a raised area on the skin that contains clear liquid and that is caused by injury to the skin ,She developed a blister on her heel where her shoe rubbed against it.
sadism,7.47,noun,enjoyment that someone gets from being violent or cruel or from causing pain,sexual sadism
misunderstand,7.43,verb,to fail to understand (someone or something) correctly ,Don't misunderstand meâ€”I'm not criticizing your decision.
replenish,7.43,verb,to fill or build up (something) again ,An efficient staff of workers replenished the trays of appetizers almost as quickly as guests emptied them.
sacrum,7.42,noun,the part of the vertebral column that is directly connected with or forms a part of the pelvis and in humans consists of five fused vertebrae,N/A
erode,7.37,verb,"to gradually destroy (something) or to be gradually destroyed by natural forces (such as water, wind, or ice) ",Crashing waves have eroded the cliffs along the beach.
posse,7.33,noun,a group of people who were gathered together by a sheriff in the past to help search for a criminal ,The sheriff and his posse rode out to look for the bandits.
insuperable,7.27,adjective,impossible to solve or get control of :impossible to overcome ,They succeeded despite some nearly insuperable [=insurmountable] difficulties.
stewardship,7.24,noun,the activity or job of protecting and being responsible for something usually + of ,the stewardship of their investments/estate
derision,7.2,noun,the feeling that people express when they criticize and laugh at someone or something in an insulting way ,yells of derision
callous,7.19,adjective,not feeling or showing any concern about the problems or suffering of other people ,a selfish and callous young man
entitle,7.15,verb,"to give a title to (something, such as a book) :title ",He entitled his book â€œMy Life on Mars.â€ù
caprice,7.11,noun,a sudden change ,the caprices of the weather
chimpanzee,7.08,noun,an intelligent animal that is a type of ape and that lives mostly in trees in Africa ,N/A
kangaroo,7.05,noun,an Australian animal that moves by hopping on its powerful rear legs ,N/A
