1,0.074970629,handmade,made with the hands or by using hand tools ,,handmade,,a,to be in charge of (someone or something) :to watch and direct (someone or something) 
2,0.778326391,serf,a person in the past who belonged to a low social class and who lived and worked on land owned by another person ,,serf,,b,having a dull gray color 
3,0.769344122,nurture,"to help (something or someone) to grow, develop, or succeed ",,nurture,,c,made with the hands or by using hand tools 
4,0.029897223,gluttony,the act or habit of eating or drinking too much,,gluttony,,d,a person in the past who belonged to a low social class and who lived and worked on land owned by another person 
5,0.927719239,supervise,to be in charge of (someone or something) :to watch and direct (someone or something) ,,supervise,,e,from that place: from there 
6,0.397449129,leaden,having a dull gray color ,,leaden,,f,"to help (something or someone) to grow, develop, or succeed "
7,0.135219484,mansion,a large and impressive house :the large house of a wealthy person ,,mansion,,g,a large and impressive house :the large house of a wealthy person 
8,0.64155751,thence,from that place: from there ,,thence,,h,the act or habit of eating or drinking too much
9,0.675939915,parable,a short story that teaches a moral or spiritual lesson ,,parable,,i,to separate from a group 
10,0.491033758,hive,to separate from a group ,,hive,,j,a short story that teaches a moral or spiritual lesson 
,,,,,,,,
1,0.146156202,discern,"to see, hear, or notice (something) with difficulty or effort ",,discern,,a,"to happen, go, or come before (something or someone) "
2,0.05995203,grim,unpleasant or shocking to see or think about ,,grim,,b,unpleasant or shocking to see or think about 
3,0.268429025,compulsion,a very strong desire to do something ,,compulsion,,c,"to see, hear, or notice (something) with difficulty or effort "
4,0.499034684,precede,"to happen, go, or come before (something or someone) ",,precede,,d,not owning any land 
5,0.927049477,potentate,a powerful ruler ,,potentate,,e,a powerful ruler 
6,0.468517014,landless,not owning any land ,,landless,,f,a very strong desire to do something 
7,0.860244565,toil,to work very hard for a long time ,,toil,,g,to the fullest degree: completely or totally 
8,0.508526043,downright,to the fullest degree: completely or totally ,,downright,,h,to prevent (someone or something) from moving or acting freely 
9,0.311000975,bearer,a person who bears or carries something ,,bearer,,i,to work very hard for a long time 
10,0.11404896,fetter,to prevent (someone or something) from moving or acting freely ,,fetter,,j,a person who bears or carries something 
,,,,,,,,
1,0.29541844,infer,to form (an opinion) from evidence :to reach (a conclusion) based on known facts ,,infer,,a,to live in a particular place 
2,0.647103359,habitation,the act of living in a place ,,habitation,,b,to cause (someone) to become adjusted to or familiar with something + to 
3,0.299681681,surmise,to form an opinion about something without definitely knowing the truth :guess ,,surmise,,c,so as to be correct 
4,0.414380865,contrive,"to form or think of (a plan, method, etc.) ",,contrive,,d,to form an opinion about something without definitely knowing the truth :guess 
5,0.997979175,firelight,"the light produced by a fire in a fireplace, stove, etc. ",,firelight,,e,"to not do what someone or something with authority tells you to do :to refuse or fail to obey rules, laws, etc. "
6,0.909429213,accustom,to cause (someone) to become adjusted to or familiar with something + to ,,accustom,,f,the act of living in a place 
7,0.139379291,aright,so as to be correct ,,aright,,g,"to form or think of (a plan, method, etc.) "
8,0.485471431,disobey,"to not do what someone or something with authority tells you to do :to refuse or fail to obey rules, laws, etc. ",,disobey,,h,"the light produced by a fire in a fireplace, stove, etc. "
9,0.165626833,dwell,to live in a particular place ,,dwell,,i,a group within a larger group that has different ideas and opinions than the rest of the group 
10,0.981706391,faction,a group within a larger group that has different ideas and opinions than the rest of the group ,,faction,,j,to form (an opinion) from evidence :to reach (a conclusion) based on known facts 
,,,,,,,,
1,0.597354947,thither,to that place :there ,,thither,,a,to eat large amounts of food usually + on 
2,0.455526121,folly,the lack of good sense or judgment: foolishness ,,folly,,b,to force (someone) to do something 
3,0.640264865,engender,to be the source or cause of (something) ,,engender,,c,a story in which the characters and events are symbols that stand for ideas about human life or for a political or historical situation 
4,0.039305995,strive,to try very hard to do or achieve something ,,strive,,d,to that place :there 
5,0.339599427,allegory,a story in which the characters and events are symbols that stand for ideas about human life or for a political or historical situation ,,allegory,,e,to try very hard to do or achieve something 
6,0.628996678,showman,a person who is good at entertaining people,,showman,,f,the lack of good sense or judgment: foolishness 
7,0.216094556,ascend,to go up :to rise or move toward the sky ,,ascend,,g,to go up :to rise or move toward the sky 
8,0.122379746,brilliance,the quality or state of being brilliant ,,brilliance,,h,a person who is good at entertaining people
9,0.046738925,gorge,to eat large amounts of food usually + on ,,gorge,,i,the quality or state of being brilliant 
10,0.445330473,compel,to force (someone) to do something ,,compel,,j,to be the source or cause of (something) 
,,,,,,,,
1,0.097866205,descend,to go down :to go or move from a higher to a lower place or level ,,descend,,a,the act or process of ascending: such as
2,0.596379993,ascent,the act or process of ascending: such as,,ascent,,b,to become very successful usually by making a lot of money 
3,0.74558335,opine,to express an opinion about something ,,opine,,c,to go down :to go or move from a higher to a lower place or level 
4,0.453218266,prosper,to become very successful usually by making a lot of money ,,prosper,,d,to cause (someone) to be unable to see for a short time 
5,0.071135513,dazzle,to cause (someone) to be unable to see for a short time ,,dazzle,,e,to express an opinion about something 
