mirage,7.08,noun,"an optical effect that is sometimes seen at sea, in the desert, or over a hot pavement, that may have the appearance of a pool of water or a mirror in which distant objects are seen inverted, and that is caused by the bending or reflection of rays of light by a layer of heated air of varying density",N/A
minutia,11.16,noun,"the small, precise, or trivial details of something",the minutiae of everyday life.
lambent,10.08,adjective,shining or glowing softly ,lambent flames
tureen,9.36,noun,a deep bowl with a cover that is used for serving food (such as soup),N/A
drench,9.15,verb,to make (someone or something) completely wet often + with or in ,She drenched him with a bucket of cold water.
jukebox,8.87,noun,a machine that plays music when money is put into it,N/A
storefront,8.87,noun,the front side of a store ,The storefront [=shop front] was decorated for the holidays.
toot,8.74,verb,"to make a short, high sound with a horn or whistle ",She tooted [=honked] at me as she drove past.
constrict,8.47,verb,"to make (something) narrower, smaller, or tighter ",These shoes are too small and constrict [=squeeze] my feet.
paralyze,8.31,verb,to make (a person or animal) unable to move or feel all or part of the body ,The snake's venom paralyzed the mouse.
midtown,8.22,noun,the part of a city or town between its downtown and uptown ,Rents in midtown are very expensive.
smuggle,8.19,verb,to move (someone or something) from one country into another illegally and secretly ,He was arrested for smuggling drugs into the country.
canker,8.15,noun,something that causes bad things to happen usually singular ,Poverty is the canker of this neighborhood.
memento,8.13,noun,"something that is kept as a reminder of a person, place, or thing :souvenir ",a collection of photographs and mementos
sideline,8.01,verb,"to prevent (a player) from playing in a game especially because of injury, illness, etc. usually used as (be) sidelined ",He was sidelined with a knee injury.
hangover,7.83,noun,a sick feeling or condition that comes after drinking too much alcohol at an earlier time ,She woke up with a hangover.
nightgown,7.82,noun,a loose dress that is worn in bed especially by women and girls ,N/A
uptown,7.71,adverb,"to, toward, or in the upper part of a city or town ",We walked uptown to his apartment.
nimble,7.69,adjective,"able to move quickly, easily, and lightly ",a nimble [=agile] dancer
conditioner,7.63,noun,a thick liquid that you put on your hair after washing it to make it softer and less dry,N/A
cracker,7.62,noun,"a dry, thin baked food that is made of flour and water and is often eaten with cheese ",a plate of cheese and crackers
gourmet,7.47,noun,a person who enjoys and knows a lot about good food and wine,N/A
chic,7.45,adjective,following the current fashion or style :fashionable and appealing ,chic clothes
skyline,7.26,noun,"the outline of buildings, mountains, etc., against the background of the sky ",the New York City skyline
soothe,7.19,verb,"to cause (someone) to be calmer, less angry, etc. ",She played music to soothe [=comfort] the baby.
grate,7.17,verb,to cut (food) into very small pieces by rubbing it against a special tool (called a grater) ,I'll beat the eggs while you grate the cheese.
monochromatic,7.08,adjective,having or made up of one color or shades of one color ,It's a monochromatic room with a blue rug and blue furniture.
glitter,7.06,verb,to shine brightly :to shine with bright points of light ,The sequins on her dress glittered in the sun.
grill,6.91,verb,to cook (food) on a metal frame over fire ,We're planning to grill some chicken and burgers at the cookout.
perishable,6.87,adjective,likely to spoil or decay quickly :not likely to stay fresh for a long time if not eaten or used ,perishable foods
shin,6.87,verb,shinny + up or down ,The sailor shinned up the mast.
nexus,6.85,noun,a relationship or connection between people or things often + between or of ,the nexus between teachers and students
revolve,6.79,verb,to turn around a center point or line :rotate ,"As the gear revolves, it turns the other gears."
depress,6.77,verb,to make (someone) feel sad :to make (someone) depressed ,The news seemed to depress him a little.
