moor,6.21,verb,to hold (a boat or ship) in place with ropes or cables or with an anchor ,We found a harbor and moored the boat there for the night.
surge,5.7,verb,to move very quickly and suddenly in a particular direction ,We all surged toward the door.
ripple,6.42,verb,to move in small waves ,Water rippled under the dock.
descend,5.66,verb,to go down :to go or move from a higher to a lower place or level ,Wait for the elevator to descend.
jam,5.9,verb,to fill (a place) completely ,"Thousands of people jammed the hall. = The hall was jammed [=jam-packed, packed] with thousands of people."
wrap,5.86,verb,to cover (something) by winding or folding a piece of material around it ,They were busy wrapping presents late on Christmas Eve.
heartsick,9.93,adjective,very sad or disappointed ,They were absolutely heartsick over/about the loss of their home.
sneak,7.04,verb,to move quietly and secretly in order to avoid being noticed ,They tried to sneak into the movie without paying.
sack,5.61,verb,to dismiss (someone) from a job ,They sacked [=fired] her for always being late.
muster,6.2,verb,"to work hard to find or get (courage, support, etc.) ",They pushed the car with all the strength they could muster.
furl,10.47,verb,"to wrap or roll (something, such as a sail or a flag) close to or around something ",They furled the sails.
seashore,6.89,noun,the land along the edge of the sea that is usually covered with sand or rocks ,They built a house near the seashore.
boast,5.79,verb,"to express too much pride in yourself or in something you have, have done, or are connected to in some way ",They boasted to their friends about their son's salary.
appease,7.05,verb,to make (someone) pleased or less angry by giving or saying something desired ,They appeased the dictator by accepting his demands in an effort to avoid war.
perverse,6.26,adjective,wrong or different in a way that others feel is strange or offensive ,their perverse cruelty to animals
afar,6.62,adverb,from a great distance ,Their fans come from afar [=from far away] to watch them play.
destine,10.36,verb,to decree beforehand :predetermine,the younger son was destined for the priesthood
moan,7.28,verb,"to make a long, low sound because of pain, unhappiness, or physical pleasure ",The wounded soldier moaned in/with pain.
groan,7.01,verb,to make a deep sound because of pain or some strong emotion (such as grief or disappointment) ,The wounded man groaned in/with pain.
rot,5.64,verb,to slowly decay or cause (something) to decay ,The wood had rotted away.
rattle,6.46,verb,"to hit against something repeatedly and make a quick series of short, loud sounds ",The window rattled as the truck drove by.
scatter,5.66,verb,to cause (things or people) to separate and go in different directions ,The wind scattered the pile of leaves.
cascade,6.04,verb,to flow or hang down in large amounts ,The water cascades over the rocks.
plunder,6.37,verb,"to steal things from (a place, such as a city or town) especially by force ",The village was plundered by the invading army.
foam,5.54,verb,to produce foam ,The soda foamed in the glass.
hulk,8.13,noun,"the main part of something (such as a ship, car, or building) that has been ruined and is no longer used ",The ship's rusting hulk is still visible on the rocks.
sacral,6.75,adjective,"of, relating to, or lying near the ",the sacral region of the spinal cord
reverberation,7.61,noun,a sound that echoes ,the reverberations of her voice
hiss,6.44,verb,to produce a sound like a long äóìsäóù :to make a hiss ,The radiator hissed as it let off steam.
summon,6.24,verb,to order (someone) to come to a place ,The queen summoned him back to the palace.
disembark,8.79,verb,to leave a ship or airplane ,The plane's crew members were the last ones to disembark.
armor,5.87,noun,special clothing that people wear to protect their bodies from weapons ,The officers are required to wear bulletproof body armor.
vow,6.07,verb,to make a serious promise to do something or to behave in a certain way often followed by to + verb ,The mayor vowed to reduce crime.
immortal,5.42,adjective,not capable of dying :living forever ,the immortal soul
crag,8.07,noun,a high and very steep area of rock on a mountain or cliff ,The goat stood on the mountain crag.
assent,5.47,verb,to agree to or approve of something (such as an idea or suggestion) especially after carefully thinking about it ,The general proposed a detailed plan and the President assented.
incalculable,6.97,adjective,not able to be calculated: such as,The extent of the damage is incalculable.
profiteer,9.94,noun,the act of making money by selling things at very high prices at a time when they are hard to get ,The company was accused of profiteering during the crisis.
mull,7.84,verb,to think about (something) slowly and carefully :ponder ,The company is mulling the offer.
beachhead,8.16,noun,a beach on an enemy's shore that an invading army takes and controls in order to prepare for the arrival of more soldiers and supplies often used figuratively to mean a place or position that serves as a base for future action or progress ,The company established a beachhead in New York City.
atrocity,7.95,noun,a very cruel or terrible act or action ,the atrocities of war
stronghold,6.36,noun,"an area where most people have the same beliefs, values, etc. :an area dominated by a particular group ",The area/district/state is a Republican stronghold.
spear,5.58,verb,to push a spear or other pointed object into (something) ,spear a fish
slaughter,5.33,verb,to kill (an animal) for food ,slaughter cattle
skewer,9.18,verb,to push a skewer through (food) ,skewer a marshmallow
fume,7.7,verb,to show or feel anger ,She's still fuming about/over/at not being invited to the party.
spiteful,7.96,adjective,"having or showing a desire to harm, anger, or defeat someone :having or showing spite ",She's just being spiteful.
furious,5.34,adjective,very angry ,She's furious at/over how slowly the investigation is proceeding.
ribbon,5.54,noun,a narrow piece of cloth (such as silk) that is used to tie things or for decoration ,She wore pink ribbons in her hair.
wince,8.54,verb,to have an expression on your face for a very short time which shows that you are embarrassed or in pain ,She winced [=grimaced] (in pain) when she hit her elbow.
bleed,6.62,verb,"to lose or release blood because of a cut, injury, etc. ",She was bleeding from the/her face and hands.
swat,8.17,verb,to hit (someone or something) with a quick motion ,She swatted the fly with a magazine.
strew,9.37,verb,to spread or scatter things over or on the ground or some other surface ,She strewed the birdseed on the ground.
sling,6.94,verb,to throw (something) with a forceful sweeping motion ,She slung the bag over her shoulder.
scrub,6.04,verb,to rub (something) hard with a rough object or substance and often with soap in order to clean it ,She scrubbed the potatoes.
spit,6.16,verb,to force saliva from your mouth ,She saw him spit on the sidewalk.
repress,6.99,verb,to not allow yourself to do or express (something) ,She repressed a laugh. [=she stopped herself from laughing]
affliction,6.55,noun,something (such as a disease) that causes pain or suffering ,She lost her sight and is now learning to live with her/the affliction.
grab,5.87,verb,to quickly take and hold (someone or something) with your hand or arms ,She grabbed his wrist. = She grabbed him by the wrist.
unambiguous,6.43,adjective,clearly expressed or understood :not ambiguous ,"She gave a clear, unambiguous answer."
shepherd,5.15,verb,to guide (someone or something) ,She carefully shepherded the children across the street.
sprout,7.14,verb,"to produce new leaves, buds, etc. ",seeds sprouting in the spring
slacken,8.4,verb,to become slower or less active :to slow down ,Sales show no sign of slackening.
sacrificial,6.1,adjective,"of, relating to, or involving sacrifice ",sacrificial rites/rituals/offerings
loot,6.95,verb,"to steal things from (a place, such as a store or house) during a war or after destruction has been caused by fire, rioting, etc. ",Rioters looted the stores.
clash,5.41,verb,to be in a situation in which you are fighting or disagreeing :to come into conflict with someone ,Police and protesters clashed yesterday.
plague,5.03,verb,"to cause constant or repeated trouble, illness, etc., for (someone or something) ",parasites that plague deer
onshore,8.05,adjective,"moving from an ocean, lake, etc., toward land ",onshore winds
greet,5.86,verb,to meet (someone who has just arrived) with usually friendly and polite words and actions :welcome ,My husband greeted our guests at the door.
mist,5.35,verb,to become covered with very small drops of water usually + up ,My glasses misted [=fogged] up when I came in from the cold.
murky,7.39,adjective,very dark or foggy ,murky skies
