bethink,10.32,verb,remember recall,N/A
gainsay,9.24,verb,to deny or disagree with (something) :to show or say that (something) is not true used in negative statements ,There is no gainsaying such evidence. [=the truth of such evidence cannot be denied]
devastate,9.07,verb,to destroy much or most of (something) :to cause great damage or harm to (something) ,The flood devastated the town.
guileless,8.82,adjective,very innocent :naive ,a guileless person/smile
rapine,8.81,noun,pillage plunder,N/A
miserly,8.7,adjective,hating to spend money ,"The team's miserly [=stingy, tightfisted] owner refused to pay for new equipment."
flinch,8.38,verb,to move suddenly because you are afraid of being hit or hurt ,He flinched when I tapped him on the shoulder.
lascivious,8.19,adjective,filled with or showing sexual desire ,lascivious acts/thoughts
confiscate,8.08,verb,to take (something) away from someone especially as punishment or to enforce the law or rules ,Guards confiscated knives and other weapons from the prisoners.
discus,8.07,noun,a heavy disk (as of wood or plastic) that is thicker in the center than at the perimeter and that is hurled for distance as a track-and-field event,N/A
centaur,7.96,noun,a creature in Greek mythology that is part human and part horse,N/A
faithless,7.84,adjective,not able to be trusted ,a faithless friend/employee/servant
effeminate,7.64,adjective,having or showing qualities that are considered more suited to women than to men :not manly ,an effeminate manner
fickle,7.53,adjective,changing often ,fickle weather
patrimony,7.5,noun,property that you receive from your father when he dies :inheritance,These historic landmarks are an important part of our cultural patrimony.
leeway,7.49,noun,freedom to do something the way you want to do it ,They give/allow their students leeway to try new things.
defenseless,7.47,adjective,"not able to defend yourself, your country, etc. ","Without weapons of any kind, the people of the town were completely defenseless."
crafty,7.37,adjective,clever in usually a deceptive or dishonest way ,a crafty schemer/plotter
praiseworthy,7.36,adjective,deserving praise :worthy of praise ,praiseworthy efforts to develop an AIDS vaccine
posse,7.33,noun,a group of people who were gathered together by a sheriff in the past to help search for a criminal ,The sheriff and his posse rode out to look for the bandits.
principality,7.27,noun,a small area or country that is ruled by a prince,N/A
presumptuous,7.27,adjective,too confident especially in a way that is rude ,It would be presumptuous (of me) to tell the manager how to do things.
laudable,7.23,adjective,deserving praise ,"She has shown a laudable [=praiseworthy, commendable] devotion to her children."
ungrateful,7.22,adjective,"not feeling or showing thanks for favors, gifts, etc. :not grateful ",an ungrateful child
lenient,7.09,adjective,"allowing a lot of freedom and not punishing bad behavior in a strong way :not harsh, severe, or strict ",a teacher who is lenient with students who have misbehaved
enumerate,7.07,verb,to name (things) one after another in a list ,Let me enumerate my reasons for doing this.
benefactor,6.85,noun,"someone who helps another person, group, etc., by giving money ",With the help of a rich benefactor he set up a charity.
chaste,6.79,adjective,not having sex ,a chaste young woman
cowardly,6.77,adjective,afraid in a way that makes you unable to do what is right or expected :lacking courage ,He insisted on avoiding a cowardly retreat.
shun,6.74,verb,to avoid (someone or something) ,He shuns parties and social events.
dissension,6.66,noun,disagreement that causes the people in a group to argue about something that is important to them ,The incident has caused a lot of dissension within/in the police department.
precept,6.65,noun,a rule that says how people should behave ,the basic/moral precepts of a religion
abstain,6.63,verb,to choose not to do or have something usually + from ,He abstained from taking part in the discussion.
allegation,6.53,noun,a statement saying that someone has done something wrong or illegal ,The police are investigating allegations that the mayor has accepted bribes.
liar,6.49,noun,a person who tells lies ,She called him a dirty liar.
frighten,6.45,verb,to cause (someone) to become afraid ,The story really frightened me.
frivolous,6.4,adjective,not important :not deserving serious attention ,She thinks window shopping is a frivolous activity.
inhuman,6.37,adjective,very fierce or cruel ,inhuman [=savage] punishment
plunder,6.37,verb,"to steal things from (a place, such as a city or town) especially by force ",The village was plundered by the invading army.
courteous,6.3,adjective,very polite in a way that shows respect ,The clerks were helpful and courteous.
deviate,6.29,verb,to do something that is different or to be different from what is usual or expected usually + from ,He almost never deviates from his usual routine.
incur,6.26,verb,to cause yourself to have or experience (something unpleasant or unwanted) ,incur expenses/debt
greedy,6.25,adjective,having or showing a selfish desire to have more of something (such as money or food) :having greed ,He was a ruthless and greedy businessman.
unbearable,6.24,adjective,"too bad, harsh, or extreme to be accepted or endured :not bearable ","unbearable [=intolerable, unendurable] pain"
deem,6.16,verb,to think of (someone or something) in a particular way ,"The building was deemed [=considered, judged] unsafe after the fire."
precaution,6.11,noun,something that is done to prevent possible harm or trouble from happening in the future ,Be sure to follow the usual safety precautions when cooking outdoors.
mutiny,6.1,noun,a situation in which a group of people (such as sailors or soldiers) refuse to obey orders and try to take control away from the person who commands them ,The mutiny was led by the ship's cook.
devout,6.01,adjective,deeply religious :devoted to a particular religion ,They are devout Catholics.
deceive,6.01,verb,to make (someone) believe something that is not true ,Her parents punished her for trying to deceive them.
reproach,5.98,verb,to speak in an angry and critical way to (someone) :to express disapproval or disappointment to (someone) often + for ,She reproached her daughter for her selfishness.
spoil,5.97,verb,to have a bad effect on (something) :to damage or ruin (something) ,The fight spoiled the party.
allegory,5.9,noun,a story in which the characters and events are symbols that stand for ideas about human life or for a political or historical situation ,the long poem is an allegory of/about love and jealousy
abide,5.88,verb,"to accept or bear (someone or something bad, unpleasant, etc.) usually used in negative constructions ",I can't abide his bad moods. [=(more commonly) I can't stand his bad moods; I hate his bad moods]
pretext,5.86,noun,a reason that you give to hide your real reason for doing something :pretense ,The leaders used a minor clash at the border as a pretext for war. [=as a reason/excuse for starting a war]
courageous,5.77,adjective,very brave :having or showing courage ,a courageous soldier
indulge,5.75,verb,to allow (yourself) to have or do something as a special pleasure ,It's my birthday. I'm going to indulge myself and eat whatever I want to eat.
omit,5.75,verb,to leave out (someone or something) :to not include (someone or something) ,Please don't omit any details.
cunning,5.72,adjective,getting what is wanted in a clever and often deceptive way ,a cunning criminal
dictate,5.7,verb,to speak or read (something) to a person who writes it down or to a machine that records it ,She's dictating a letter to her secretary.
prudence,5.68,noun,careful good judgment that allows someone to avoid danger or risks ,act with ordinary/reasonable prudence
rash,5.58,adjective,done or made quickly and without thought about what will happen as a result ,He later regretted having made such a rash [=hasty] promise.
conquer,5.57,verb,"to take control of (a country, city, etc.) through the use of force ",The city was conquered by the ancient Romans.
stubborn,5.56,adjective,refusing to change your ideas or to stop doing something ,"She's wrong, but she's too stubborn to admit it."
virtuous,5.54,adjective,morally good :having or showing virtue ,a virtuous man/woman
condemn,5.54,verb,to say in a strong and definite way that someone or something is bad or wrong ,We strongly condemn this attack against our allies.
swear,5.54,verb,to state (something) very strongly and sincerely ,I swear (that) I was there. [=I was definitely there; I am telling you the truth when I say that I was there]
imitate,5.52,verb,to make or do something the same way as (something else) ,Their competitors soon imitated [=copied] the idea.
defiance,5.51,noun,a refusal to obey something or someone :the act of defying someone or something ,acts of defiance
prudent,5.51,adjective,having or showing careful good judgment ,He always listened to her prudent advice.
troop,5.5,verb,to walk somewhere in a group ,We all trooped back inside.
deception,5.49,noun,the act of making someone believe something that is not true :the act of deceiving someone ,She accuses the company of willful deception in its advertising.
impress,5.47,verb,to cause (someone) to feel admiration or interest ,He's trying to impress her. [=he is trying to win her admiration; he wants her to like him]
wretched,5.46,adjective,"very unhappy, ill, etc. ","The slums were filled with poor, wretched children."
legion,5.44,adjective,very many or numerous ,Her admirers/fans are legion. [=she has a very large number of admirers/fans]
dread,5.41,verb,to fear something that will or might happen ,He can't swim and dreads going in the water.
safeguard,5.38,verb,to make (someone or something) safe or secure :protect ,laws that safeguard the rights of citizens
preach,5.37,verb,to make a speech about religion in a church or other public place :to deliver a sermon ,Have you ever heard that minister preach?
condemnation,5.27,noun,a statement or expression of very strong and definite criticism or disapproval ,The plan has drawn condemnation from both sides.
endeavor,5.26,verb,to seriously or continually try to do (something) ,The school endeavors to teach students to be good citizens.
conceal,5.26,verb,to hide (something or someone) from sight ,The sunglasses conceal her eyes.
recourse,5.25,noun,an opportunity or choice to use or do something in order to deal with a problem or situation ,His only recourse [=the only thing he can do] is to file a complaint with the management.
punish,5.24,verb,to make (someone) suffer for a crime or for bad behavior ,I think that murderers should be punished by/with life imprisonment.
cruelty,5.21,noun,a desire to cause others to suffer :the quality or state of being cruel ,a dictator/tyrant known for his cruelty
admirable,5.16,adjective,deserving to be admired :very good ,The film does an admirable [=excellent] job of depicting life in the 1940s.
compassion,5.14,noun,"a feeling of wanting to help someone who is sick, hungry, in trouble, etc. ",He felt compassion for the lost child.
seize,5.1,verb,to use legal or official power to take (something) ,Police seized [=confiscated] the weapons and drugs.
innumerable,5.06,adjective,too many to be counted :very many ,the innumerable [=countless] stars in the sky
corrupt,5.05,verb,"to cause (someone or something) to become dishonest, immoral, etc. ",He believes that violence on television and film is corrupting our children. [=teaching bad beliefs and behaviors to our children]
