palpitate,11.27,verb,"to beat quickly and strongly and often in a way that is not regular because of excitement, nervousness, etc. ",My heart began to palpitate when I was announced as the winner.
importune,10.1,verb,to ask (someone) for something or to do something in a repeated or annoying way :beg ,"He stood on the street corner, importuning passersby for help/money."
vicissitude,9.76,noun,the quality or state of being changeable :mutability,the vicissitudes of daily life
wainscot,9.59,verb,to line with or as if with boards or paneling,N/A
unfaltering,9.5,adjective,not wavering or weakening :firm ,unfaltering loyalty
engrave,9.26,verb,"to cut or carve lines, letters, designs, etc., onto or into a hard surface ",They will engrave your initials on the ring for free.
unsubstantial,8.97,adjective,"not substantial :lacking substance, firmness, or strength ",unsubstantial shadows
impalpable,8.81,adjective,incapable of being felt by touch :intangible ,the impalpable aura of power that emanated from him 
paramour,8.79,noun,a person with whom someone is having a romantic or sexual relationship and especially a secret or improper relationship ,Her husband found a love letter from her paramour. [=lover]
cud,8.69,noun,the food that an animal (such as a cow) brings back up from its stomach into its mouth to be chewed again ,a cow chewing its cud
embed,8.61,verb,to place or set (something) firmly in something else ,embed a post in concrete
illumine,8.51,verb,illuminate ,streets illumined by gaslight
punctuate,8.5,verb,to use punctuation marks in (a piece of writing) ,Do you know how to punctuate a sentence correctly?
outgrow,8.38,verb,to grow too large for (someone or something) ,Kids outgrow their clothes so quickly.
scallop,8.32,noun,"a type of shellfish that has a flat, round shell with two parts and that is often eaten as food ",N/A
thrall,8.24,noun,in a state of being controlled or strongly influenced by someone or something ,He was completely in thrall to her. = He was completely in her thrall.
creak,8.16,verb,"to make a long, high sound :to make a sound like the sound made by an old door when it opens or closes ",The door creaked open. = The door made a creaking sound as it opened.
kaleidoscope,8.11,noun,a tube that has mirrors and loose pieces of colored glass or plastic inside at one end so that you see many different patterns when you turn the tube while looking in through the other end,The landscape was a kaleidoscope of changing colors.
assuage,7.94,verb,"to make (something, such as an unpleasant feeling) less painful, severe, etc. ","The company tried to assuage [=soothe, calm, ease] investors' fears."
allure,7.94,noun,power to attract :a quality that attracts people ,These rare books hold special allure for collectors.
crumb,7.84,noun,a very small piece of food ,He swept the crumbs from under the table.
dissect,7.84,verb,to cut (a plant or dead animal) into separate parts in order to study it ,We dissected a frog in science class.
savor,7.78,verb,to enjoy the taste or smell of (something) for as long as possible ,He savored the aroma of the baking pies.
morsel,7.78,noun,a small piece of food ,tender morsels of beef
undress,7.69,verb,to take your clothes off ,She undressed and climbed into bed.
restful,7.64,adjective,peaceful and quiet in a way that makes you relax ,It's restful by the stream.
mouthful,7.59,noun,as much as a mouth will hold ,a mouthful of food/water
retrace,7.58,verb,"to go back along the same course, path, etc., that you or someone else has taken earlier ",retrace a path/route
glimmer,7.5,verb,"to shine in a weak, faint, or unsteady way ",Candles glimmered in the windows of the inn.
medley,7.48,noun,a musical piece made up of parts of other musical works ,a medley of show tunes
obliterate,7.42,verb,to destroy (something) completely so that nothing is left ,The tide eventually obliterated [=wiped out] all evidence of our sand castles.
elapse,7.28,verb,to pass by ,Weeks elapsed [=passed] before he returned home.
reincarnation,7.12,noun,the idea or belief that people are born again with a different body after death ,Many people believe in reincarnation.
whirl,7.1,verb,to move or go in a circle or curve especially with force or speed ,The cars were whirling around the track.
unaccustomed,7.07,adjective,not usual or common :not customary ,They responded to our request with unaccustomed speed.
subsist,7.05,verb,to exist or continue to exist ,The author's right to royalties shall subsist for the term of the copyright.
detach,7.03,verb,to separate (something) from something larger ,Detach the upper part of the form and return it with your payment.
snatch,6.95,verb,to take (something) quickly or eagerly ,She snatched [=grabbed] the ball out of the air and ran down the court.
errand,6.9,noun,a short journey that you take to do or get something ,He was sent out on an urgent errand.
innocuous,6.88,adjective,not likely to bother or offend anyone :inoffensive ,He told a few innocuous jokes.
shudder,6.84,verb,"to shake because of fear, cold, etc. often + with ","He shuddered [=quivered, trembled] with fear when he heard the scream."
poise,6.81,verb,to hold (something) in a balanced and steady position ,She poised her pencil above the paper and waited for the signal to begin writing.
dispel,6.79,verb,"to make (something, such as a belief, feeling, or idea) go away or end ",This report should dispel any doubts you have about the plan.
pastry,6.78,noun,dough that is used to make pies and other baked goods ,He worked on the filling while I prepared the pastry.
soak,6.72,verb,to put (something) in a liquid for a period of time ,Soak the beans overnight (in water).
reappear,6.68,verb,"to appear again after not being seen, felt, etc., for a period of time ",We watched the fireflies in the field vanish and then reappear.
ponder,6.65,verb,to think about or consider (something) carefully ,He pondered the question before he answered.
unintelligible,6.62,adjective,impossible to understand :not intelligible ,He left an unintelligible message on my voice mail.
oblige,6.57,verb,to force or require (someone or something) to do something because of a law or rule or because it is necessary ,The law obliges the government to release certain documents to the public.
brevity,6.53,noun,the quality of being brief: such as,I've omitted certain passages for the sake of brevity. [=because I want to be brief]
mediocre,6.51,adjective,not very good ,"The dinner was delicious, but the dessert was mediocre."
tremble,6.51,verb,"to shake slightly because you are afraid, nervous, excited, etc. ",His arms and legs began to tremble.
plump,6.49,verb,"to sit, fall, or lie down in a sudden, awkward, or relaxed way :plop ",He came home and plumped [=flopped] down on the couch.
distraction,6.36,noun,something that makes it difficult to think or pay attention ,It was hard to work with so many distractions.
inanimate,6.35,adjective,not living :not capable of life ,Stones are inanimate.
recapture,6.34,verb,to catch (someone or something that has escaped) ,The guards recaptured the escaped prisoner.
illuminate,6.33,verb,to supply (something) with light :to shine light on (something) ,Candles illuminate [=light] the church.
spasm,6.25,noun,a sudden uncontrolled and often painful tightening of a muscle ,violent back spasms
magnetism,6.23,noun,the property of attracting certain metals :the attracting property of a magnet,Much of his success as a politician can be attributed to his personal magnetism.
extraneous,6.2,adjective,not forming a necessary part of something ,She sped up the process by eliminating all extraneous steps.
pavilion,6.19,noun,"a building in a park or garden that usually has open sides and is used for parties, concerts, or other events",The World's Fair had numerous pavilions.
streak,6.16,verb,to make long lines of a different color on or in (something) ,Tears streaked her face.
hop,6.16,verb,to move by a quick jump or series of jumps ,He hopped over the hot sand.
glaze,6.15,verb,to give a smooth and shiny coating to (something) ,The storm glazed the trees with ice.
transcend,6.14,verb,to rise above or go beyond the normal limits of (something) ,music that transcends cultural boundaries
dormant,6.13,adjective,not doing anything at this time :not active but able to become active ,a dormant volcano
precaution,6.11,noun,something that is done to prevent possible harm or trouble from happening in the future ,Be sure to follow the usual safety precautions when cooking outdoors.
incomprehensible,6.07,adjective,impossible to understand :not comprehensible ,I found his behavior utterly incomprehensible.
deter,6.03,verb,to cause (someone) to decide not to do something ,Some potential buyers will be deterred by the price.
luncheon,6.01,noun,a usually formal lunch that occurs as part of a meeting or for entertaining a guest ,a company luncheon
plunge,6.01,verb,to fall or jump suddenly from a high place ,Her car plunged off a bridge.
sensual,5.98,adjective,"relating to, devoted to, or producing physical or sexual pleasure ",sensual desires/pursuits/excesses
traverse,5.98,verb,to move across (an area) ,The candidates traversed the state throughout the campaign.
quartet,5.96,noun,a group of four singers or musicians who perform together ,He is a member of a jazz quartet.
stray,5.91,verb,to go in a direction that is away from a group or from the place where you should be ,Two cows strayed [=wandered] into the woods.
hue,5.88,noun,a color or a shade of a color ,We decorated the room in hues of blue and green.
vanish,5.87,verb,to disappear entirely without a clear explanation ,My keys mysteriously vanished.
revive,5.86,verb,"to make (someone or something) strong, healthy, or active again ",The doctors were trying to revive the patient. [=to make the unconscious patient conscious again]
invade,5.82,verb,"to enter (a place, such as a foreign country) in order to take control by military force ",invade a country
pilgrim,5.8,noun,someone who travels to a holy place ,Thousands of Muslim pilgrims traveled to Mecca.
momentary,5.78,adjective,lasting a very short time :lasting only a moment ,There was a momentary [=brief] pause between songs.
whistle,5.76,verb,to make a high sound by blowing air through your lips or teeth ,He was whistling as he walked down the street.
signify,5.72,verb,to be a sign of (something) :to mean (something) ,Black clothing signifies mourning.
surround,5.7,verb,to be on every side of (someone or something) ,A wall surrounds the old city.
luminous,5.67,adjective,producing or seeming to produce light :shining ,luminous stars/galaxies
scatter,5.66,verb,to cause (things or people) to separate and go in different directions ,The wind scattered the pile of leaves.
recollection,5.65,noun,the act of remembering something or the ability to remember something ,Her recollection of the accident is very different from mine.
flute,5.65,noun,a musical instrument that is shaped like a thin pipe and that is played by blowing across a hole near one end ,N/A
radiant,5.62,adjective,"having or showing an attractive quality of happiness, love, health, etc. ",a radiant smile
palate,5.62,noun,the top part of the inside of your mouth :the roof of your mouth ,The restaurant serves Korean food adapted for the American palate.
bury,5.57,verb,to put (a dead person or animal) in a grave ,He was buried with full military honors.
exquisite,5.56,adjective,finely done or made ,exquisite workmanship
stare,5.55,verb,to look at someone or something for a long time often with your eyes wide open ,She was staring straight ahead. = Her eyes were staring straight ahead.
porcelain,5.54,noun,"a hard, white substance that is very delicate and that is made by baking clay ",The bowl is made of/from porcelain.
captive,5.54,adjective,"captured and kept in a prison, cage, etc. ",The captive soldiers planned their escape.
fragile,5.52,adjective,easily broken or damaged ,the flower's fragile petals
avail,5.51,verb,to be useful or helpful to (someone or something) ,Our best efforts availed [=gained] us nothing.
futile,5.43,adjective,having no result or effect :pointless or useless ,All our efforts proved futile.
compel,5.43,verb,to force (someone) to do something ,Illness compelled him to stay in bed.
pyramid,5.39,noun,a very large structure built especially in ancient Egypt that has a square base and four triangular sides which form a point at the top ,the ancient pyramids of Egypt
scenery,5.37,noun,"the walls, furniture, trees, etc., that are used on a stage during a play or other performance to show where the action is taking place ",She designed the scenery for the play.
