swelter,11.27,verb,to be very hot and uncomfortable ,We were sweltering in the summer heat.
befuddle,11.07,verb,to muddle or stupefy with or as if with drink,N/A
putrefy,10.83,verb,to be slowly destroyed by natural processes :to rot and become putrid ,putrefying meat/flesh
fluster,10.81,verb,to make (someone) nervous and confused ,The interruption flustered the speaker.
smolder,10.3,verb,to burn slowly without flames but usually with smoke ,The remains of the campfire smoldered.
boozer,10.12,noun,a person who drinks a lot of alcohol ,an unapologetic boozer
inebriate,9.74,verb,to exhilarate or stupefy as if by liquor,N/A
bewilder,9.53,verb,to confuse (someone) very much ,"His decision bewildered [=puzzled, perplexed] her."
drivel,9.41,verb,to talk in a very foolish or silly way ,What is he driveling about now?
redden,9.37,verb,to make something red or to become red ,First-degree burns redden the skin.
cower,9.37,verb,to move back or bend your body down because you are afraid ,They cowered at the sight of the gun.
riddance,9.27,noun,sed to say that you are glad that someone is leaving or that something has gone ,"‰ÛÏDid you hear? Jack is leaving for a new job.‰Ûù ‰ÛÏWell, good riddance (to him)! We'll be better off without him!‰Ûù"
pajama,9.22,noun,clothing that people wear in bed or while relaxing at home ,silk pajamas
metamorphose,9.08,verb,to change in an important and obvious way into something that is very different :to undergo metamorphosis usually + into ,This once-small company has metamorphosed into an industrial giant.
stun,9.04,verb,to surprise or upset (someone) very much ,a theft that stunned [=shocked] the art world
werewolf,9.02,noun,a person who sometimes changes into a wolf especially when the moon is full,N/A
peddle,8.97,verb,to sell (something) usually in small amounts and often by traveling to different places ,They peddled fruits and vegetables out of their truck on the side of the road.
rummage,8.97,verb,to search for something especially by moving and looking through the contents of a place ,He rummaged through the attic for his baseball card collection.
slouch,8.92,verb,"to walk, sit, or stand lazily with your head and shoulders bent forward ",Sit up straight. Please don't slouch.
minefield,8.76,noun,an area of land or water that contains bombs (sense 2),This issue is a political minefield.
incriminate,8.63,verb,to cause (someone) to appear guilty of or responsible for something (such as a crime) ,Material found at the crime scene incriminates the defendant.
exorcise,8.6,verb,to force (an evil spirit) to leave ,The movie is about a priest who tries to exorcise demons from a young girl.
gnaw,8.6,verb,to bite or chew (something) repeatedly ,The dog was gnawing a bone.
maudlin,8.59,adjective,showing or expressing too much emotion especially in a foolish or annoying way ,He became maudlin and started crying like a child.
wince,8.54,verb,to have an expression on your face for a very short time which shows that you are embarrassed or in pain ,She winced [=grimaced] (in pain) when she hit her elbow.
tipsy,8.53,adjective,unsteady or foolish from drinking :slightly drunk ,I got a little tipsy at the party last night.
squander,8.5,verb,to use (something) in a foolish or wasteful way ,She squandered her inheritance/allowance.
prowl,8.45,verb,to move quietly through an area while hunting ,a tiger prowling in the jungle
wobble,8.44,verb,to move with an unsteady side-to-side motion ,The vase wobbled but didn't fall over.
swagger,8.42,verb,to walk in a very confident way :to walk with a swagger ,He swaggered [=strutted] into the shop like he owned the place.
telltale,8.23,adjective,indicating that something exists or has occurred ,The sauce had the telltale odor of garlic.
smuggle,8.19,verb,to move (someone or something) from one country into another illegally and secretly ,He was arrested for smuggling drugs into the country.
grisly,8.05,adjective,causing horror or fear :very shocking ,a grisly [=gruesome] murder
bawdy,8,adjective,dealing with sex in a way that is meant to be funny ,"bawdy [=vulgar, lewd] jokes"
engulf,7.95,verb,to flow over and cover (someone or something) ,The valley was engulfed in a thick fog.
dazzle,7.92,verb,to cause (someone) to be unable to see for a short time ,He was dazzled [=blinded] by the camera flash.
coax,7.91,verb,to influence or persuade (a person or animal) to do something by talking in a gentle and friendly way ,It took almost an hour to coax the cat down from the tree.
waver,7.89,verb,to go back and forth between choices or opinions :to be uncertain about what you think about something or someone ,people who are still wavering between the two candidates
seep,7.87,verb,to flow or pass slowly through small openings in something ,Blood was seeping through the bandage.
enslave,7.87,verb,to make (someone) a slave usually used as (be) enslaved ,Her ancestors were enslaved during the war.
surly,7.86,adjective,rude and unfriendly ,surly customers
huddle,7.82,verb,to come close together in a group ,People were huddling (together) in doorways to get out of the rain.
heedless,7.81,adjective,not paying careful attention ,They remain heedless of their own safety.
flounder,7.78,verb,to move in an awkward way with a lot of difficulty and effort :struggle ,The horses were floundering through the deep snow.
sweaty,7.78,adjective,causing you to sweat ,sweaty work
stagger,7.77,verb,to move or cause (someone) to move unsteadily from side to side ,The drunk staggered away/off.
giggle,7.76,verb,to laugh in a nervous or childlike way ,She giggled like a little kid.
scold,7.75,verb,to speak in an angry or critical way to (someone who has done something wrong) ,He scolded [=reprimanded] the children for making a mess.
growl,7.72,verb,to make a deep threatening sound ,I could hear a dog growling behind me.
bruise,7.72,verb,"to cause a bruise on (part of a person's body, a piece of fruit, etc.) ",She bruised her knee when she fell.
grunt,7.69,verb,"to make a short, low sound :to make a grunt ",The workers were grunting with effort as they lifted the heavy furniture.
sniff,7.68,verb,to take air into your nose in short breaths that are loud enough to be heard ,She sniffed and wiped her nose with a tissue.
furtive,7.66,adjective,done in a quiet and secret way to avoid being noticed ,He cast a furtive glance in our direction.
crunch,7.63,verb,to make the loud sound of something being crushed ,The snow crunched underfoot.
jovial,7.61,adjective,full of happiness and joy :cheerful ,The audience was in a jovial mood.
