outskirt,11.53,noun,a part remote from the center :border usually used in plural ,on the outskirts of town
exhilarate,11.31,verb,to cause (someone) to feel very happy and excited usually used as (be) exhilarated ,We were exhilarated by the news of his success.
avast,11.02,verb imperative, nautical command to stop or cease,N/A
overgrow,10.89,verb,to grow in an uncontrolled way and completely cover or fill (something) ,The weeds have overgrown the garden.
freshet,9.97,noun,stream ,summer brings a freshet of tourists
fritter,9.67,verb,to spend or use up (something) in a slow and usually foolish way ,He frittered the afternoon away.
drench,9.15,verb,to make (someone or something) completely wet often + with or in ,She drenched him with a bucket of cold water.
rudiment,8.91,noun,a basic principle or element or a fundamental skill usually used in plural ,teaching themselves the rudiments of rational government 
hereabouts,8.57,adverb,near or around this place :in this area ,We don't see a lot of snow hereabouts.
vex,8.56,verb,to annoy or worry (someone) ,This problem has vexed researchers for years.
resound,8.53,verb,to become filled with sound usually + with ,The hall resounded with cheers.
quicksand,8.5,noun,"deep, wet sand into which heavy objects sink easily",the quicksand of depression
swath,8.44,noun,"a long, wide strip of land ",An aerial view of the countryside shows wide swathes of green.
dignitary,8.42,noun,a person who has a high rank or an important position ,The dinner was attended by many foreign dignitaries.
delude,8.18,verb,to cause (someone) to believe something that is not true ,"If she thinks I care, she's deluding [=fooling] herself."
unhurried,8.18,adjective,not happening or done quickly or too quickly :relaxed and calm ,We strolled along at an unhurried [=leisurely] pace.
gouge,8.13,verb,to cut a deep hole in (something) ,The lamp fell and gouged the table.
pygmy,8.07,adjective,sed to describe a type of plant or animal that is smaller than the usual size ,a pygmy elephant
slush,8.07,noun,partly melted snow ,a sidewalk covered with slush
supernumerary,7.93,adjective,"exceeding the usual, stated, or prescribed number ",a supernumerary tooth
heedless,7.81,adjective,not paying careful attention ,They remain heedless of their own safety.
cleaver,7.76,noun,a heavy knife with a wide blade used for cutting up large pieces of meat,N/A
culminate,7.65,verb,to reach the end or the final result of something usually + in or with ,She had a long acting career that culminated in two Oscar nominations.
baboon,7.63,noun,a large African or Asian monkey,N/A
nutshell,7.55,noun,the hard outer shell of a nut,N/A
crave,7.54,verb,to have a very strong desire for (something) ,"Like many celebrities, he craves attention."
clout,7.54,verb,to hit (the ball) very hard ,He clouted 19 home runs last year.
glimmer,7.5,verb,"to shine in a weak, faint, or unsteady way ",Candles glimmered in the windows of the inn.
whirlpool,7.47,noun,"an area of water in a river, stream, etc., that moves very fast in a circle ",The swimmer was caught in a whirlpool and nearly drowned.
instill,7.46,verb,"to gradually cause someone to have (an attitude, feeling, etc.) ",instill character/discipline
situate,7.43,verb,to place (someone or something) in a particular location ,They decided to situate the new office building near the airport.
drowsy,7.33,adjective,tired and ready to fall asleep ,I started feeling drowsy [=sleepy] and decided to take a nap.
grasshopper,7.32,noun,a plant-eating insect that has long legs used for jumping ,N/A
unwieldy,7.28,adjective,"difficult to handle, control, or deal with because of being large, heavy, or complex ","a large, unwieldy box"
succinct,7.24,adjective,using few words to state or express an idea ,He gave a succinct overview of the expansion project.
clutter,7.2,verb,to fill or cover (something) with many things :to fill or cover (something) with clutter ,Tools cluttered the garage.
glorify,7.18,verb,to honor or praise (a god or goddess) ,Glorify and give thanks to God.
slumber,7.15,verb,sleep ,The children quietly slumbered.
forsake,7.13,verb,to give up or leave (someone or something) entirely ,All my friends have forsaken [=abandoned] me.
tinker,7.06,verb,to try to repair or improve something (such as a machine) by making small changes or adjustments to it ,He was tinkering in the garage.
overwhelm,7.04,verb,to affect (someone) very strongly ,Grief overwhelmed her. = She was overwhelmed by grief. [=she felt grief so strongly that she was unable to think or act in a normal way]
rout,7.01,verb,to defeat (someone) easily and completely in a game or contest ,The reigning champion routed the contender.
snout,6.95,noun,the long nose of some animals (such as pigs) ,The dog raised his snout and sniffed.
hoarse,6.92,adjective,having a harsh or rough sound or voice ,She could only speak in a hoarse whisper.
misconception,6.89,noun,a wrong or mistaken idea ,a common/popular misconception
fluctuate,6.83,verb,"to change level, strength, or value frequently ","Oil prices fluctuated [=became higher, lower, etc.] throughout the year."
inhabitant,6.81,noun,a person or animal that lives in a particular place ,The city has more than a million inhabitants. [=residents]
burrow,6.8,verb,to make a hole or tunnel in the ground by digging usually + into or under ,The rabbit burrowed into the side of the hill.
paw,6.74,verb,to touch or hit (someone or something) with a paw or foot ,The bull was pawing the dirt/ground.
sentinel,6.73,noun,sentry ,armed sentinels
acquaint,6.7,verb,to cause (someone) to know and become familiar with something ,He acquainted the new employee with her duties. [=he told her about her duties]
steamboat,6.68,noun,a boat that is powered by steam,N/A
spartan,6.68,adjective,very bare and simple :lacking the things that make life comfortable or more pleasant ,They lived in spartan conditions.
mammoth,6.6,adjective,very large ,"a mammoth [=huge, gigantic] building"
expel,6.6,verb,to officially force (someone) to leave a place or organization ,The club may expel members who do not follow the rules.
chop,6.5,verb,"to cut (something) into pieces by hitting it with the sharp edge of an ax, knife, etc. ",She's in the kitchen chopping vegetables.
starve,6.5,verb,to suffer or die from lack of food :to suffer extreme hunger ,Without food they would starve.
jest,6.49,verb,to say things that are meant to cause laughter :joke ,You voted for him? Surely you jest. [=you must be joking]
rattle,6.46,verb,"to hit against something repeatedly and make a quick series of short, loud sounds ",The window rattled as the truck drove by.
apprehend,6.46,verb,to arrest (someone) for a crime :to catch (a criminal or suspect) ,"Within hours, police had apprehended the thief."
pecuniary,6.43,adjective,relating to or in the form of money ,the hope of pecuniary [=(more commonly) financial] reward
sham,6.42,adjective,not real :false fake ,sham marriages
farthest,6.39,adverb,to or at the greatest distance in space or time :furthest ,He chose the seat farthest from the door.
underlie,6.38,verb,to lie or be located under (something) ,A tile floor underlies the rug.
lucid,6.37,adjective,very clear and easy to understand ,a lucid explanation
barbarous,6.36,adjective,not polite or proper :very rude or offensive ,His behavior was barbarous.
greedy,6.25,adjective,having or showing a selfish desire to have more of something (such as money or food) :having greed ,He was a ruthless and greedy businessman.
myriad,6.2,adjective,very many ,The old system's problems were myriad.
fable,6.14,noun,a short story that usually is about animals and that is intended to teach a lesson ,Aesop's fables
illusory,6.14,adjective,based on something that is not true or real :based on an illusion ,an illusory hope
rift,6.12,noun,"a situation in which two people, groups, etc., no longer have a friendly relationship ",The fight will only widen the rift with his brother.
fabulous,6.09,adjective,very good ,I had a fabulous time.
stitch,6.05,verb,"to use a needle and thread to make or repair (something, such as a piece of clothing) :to join (something, such as a piece of fabric or a button) to something else with stitches :sew ",He stitched a patch onto his coat.
delusion,6.03,noun,a belief that is not true :a false idea ,He has delusions about how much money he can make at that job.
perturbation,6.02,noun,a change in the normal state or regular movement of something ,a perturbation in the planet's orbit
mosquito,6.02,noun,a small flying insect that bites the skin of people and animals and sucks their blood ,a swarm of mosquitoes
deceive,6.01,verb,to make (someone) believe something that is not true ,Her parents punished her for trying to deceive them.
excursion,5.96,noun,a short trip especially for pleasure ,a fishing excursion
reckon,5.95,verb,to think or suppose (something) :to believe that (something) is true or possible ,I reckon that we'll have to leave early.
posterity,5.95,noun,people in the future ,Posterity will remember her as a woman of courage and integrity.
forge,5.95,verb,to form something by heating and shaping metal ,forging hooks out of pieces of iron = forging pieces of iron into hooks
meridian,5.93,noun,any one of the lines that go from the North Pole to the South Pole on maps of the world ,N/A
confederacy,5.91,noun,"a group of people, countries, organizations, etc., that are joined together in some activity or effort ",a confederacy of native tribes
hue,5.88,noun,a color or a shade of a color ,We decorated the room in hues of blue and green.
beforehand,5.88,adverb,in advance :at an earlier or previous time ,They'd agreed beforehand [=ahead of time] to leave early.
postage,5.87,noun,the cost of sending a letter or package by mail ,How much is the postage for this package?
wreck,5.84,verb,to damage (something) so badly that it cannot be repaired ,I wrecked my mother's car.
concord,5.82,geographical name,"U.S. city, California",N/A
superfluous,5.81,adjective,beyond what is needed :not necessary ,a superfluous word/detail
whistle,5.76,verb,to make a high sound by blowing air through your lips or teeth ,He was whistling as he walked down the street.
discern,5.71,verb,"to see, hear, or notice (something) with difficulty or effort ","We could just discern [=distinguish, make out] the ship through the fog."
mast,5.58,noun,a long pole that supports the sails of a boat or ship ,N/A
lapse,5.56,verb,to stop for usually a brief time ,After a few polite words the conversation lapsed.
vigor,5.53,noun,"strength, energy, or determination ",She defended her beliefs with great vigor.
memorable,5.51,adjective,very good or interesting and worth remembering ,a memorable vacation/experience
sublime,5.5,adjective,very beautiful or good :causing strong feelings of admiration or wonder ,Her paintings are sublime.
wedge,5.47,verb,to force (someone or something) into a very small or narrow space ,She wedged her foot into the crack.
lump,5.47,verb,to put (people or things) together or in the same group ,He made the mistake of lumping all their ideas together as foolish.
scrap,5.42,verb,"to get rid of (something) because it is damaged, no longer useful, etc. ",He scrapped his car after the accident.
alphabet,5.4,noun,the letters of a language arranged in their usual order ,The Roman alphabet begins with â€œAâ€ù and ends with â€œZ.â€ù
behold,5.35,verb,to look at (something) :to see (something) ,Those who have beheld the beauty of the desert never forget it.
diminish,5.28,verb,"to become or to cause (something) to become less in size, importance, etc. ","The passing years did nothing to diminish [=decrease, lessen] their friendship."
preacher,5.19,noun,a person who speaks publicly about religious subjects in a Christian church or other public place,N/A
thunder,5.17,verb,to produce thunder ,The sky thundered and the rain poured down.
fairy,5.16,noun,"a creature that looks like a very small human being, has magic powers, and sometimes has wings ",a good fairy
eternity,5.15,noun,time without an end ,She promised to love him for all eternity. [=to love him forever]
fore,5.12,adverb,"toward or at the front part of a boat, ship, or airplane ",The plane's exits are located fore and aft.
confess,5.08,verb,to admit that you did something wrong or illegal ,He confessed after being questioned for many hours.
crane,5.04,verb,to stretch out (your neck) in order to see better ,We craned our necks toward the stage.
infancy,5.02,noun,the first part of a child's life :the time in your life when you are a baby ,She was often sick during her infancy.
marrow,5.02,noun,a soft substance that fills the bones of people and animals ,N/A
perpetual,5.02,adjective,continuing forever or for a very long time without stopping ,The region is in a state of perpetual war.
